7zip 26.02-1
kwrited 6.7.3-1
layer-shell-qt 6.7.3-1
lib32-gamemode 1.8.2-1
lib32-gdk-pixbuf2 2.44.7-1
lib32-gtk3 1:3.24.52-1
lib32-libappindicator 12.10.1-1
lib32-libpulse 17.0+r98+gb096704c0-1
lib32-libxcomposite 0.4.7-1
lib32-libxrandr 1.5.5-1
lib32-mangohud 0.8.4-1
lib32-nvidia-utils 610.43.03-1
lib32-vulkan-intel 1:26.1.5-1
libastal-battery-git r855.7d1fac8-1
libastal-gjs-git r855.7d1fac8-1
libastal-lua-git 1:r30.edb48de-1
libastal-mpris-git r855.7d1fac8-1
libastal-network-git r855.7d1fac8-1
libgtop 2.41.3-2
libinput-tools 1.31.3-1
libkscreen 6.7.3-1
libksysguard 6.7.3-1
libplasma 6.7.3-1
linux 7.0.3.arch1-2
linux-firmware 20260622-1
lolcat 100.0.1-5
lutris 0.5.22-2
man-db 2.13.1-2
man-pages 6.18-1
mangohud 0.8.4-1
mariadb 12.3.2-3
matugen-bin 4.1.0-1
milou 6.7.3-1
mongodb-bin 8.2.7-2
mono 6.12.0.206-1
nano 9.1-1
neo-matrix 0.6.1-3
neovide 0.16.2-2
neovim 0.12.4-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
networkmanager-dmenu-git r237.bda983f-1
nodejs 26.5.0-1
noto-fonts-cjk 20240730-1
npm 12.0.1-1
nwg-drawer 0.7.5-1
nwg-look 1.1.1-3
ocean-sound-theme 6.7.3-1
onlyoffice-bin 9.3.1-1
otf-font-awesome 7.3.1-1
oxygen 6.7.3-1
oxygen-sounds 6.7.3-1
pacman-contrib 1.13.1-1
pavucontrol 1:6.2-1
peaclock 0.4.3-2
php 8.5.8-1
php-apache 8.5.8-1
phpmyadmin 5.2.3-1
pipes.sh 1.3.0-1
plasma-activities 6.7.3-1
plasma-activities-stats 6.7.3-1
plasma-browser-integration 6.7.3-1
plasma-desktop 6.7.3-1
plasma-disks 6.7.3-1
plasma-firewall 6.7.3-1
plasma-integration 6.7.3-1
plasma-nm 6.7.3-1
plasma-pa 6.7.3-1
plasma-sdk 6.7.3-1
plasma-systemmonitor 6.7.3-1
plasma-thunderbolt 6.7.3-1
plasma-vault 6.7.3-1
plasma-welcome 6.7.3-1
plasma-workspace 6.7.3-1
plasma-workspace-wallpapers 6.7.3-1
plasma5support 6.7.3-1
plymouth-kcm 6.7.3-1
polkit-kde-agent 6.7.3-1
power-profiles-daemon 0.30-1
powerdevil 6.7.3-1
print-manager 1:6.7.3-1
proton-ge-custom-bin 1:GE_Proton10_34-1
python-dbus 1.4.0-2
python-gpustat 1:1.1.1-1
python-pip 26.1.2-1
python-pynvim 0.6.0-2
qpwgraph 1.0.3-1
qqc2-breeze-style 6.7.3-1
qt5-wayland 5.15.19+kde+r55-1
qt6-wayland 6.11.1-1
qt6ct 0.11-7
quickshell 0.3.0-2
reflector 2023-5
rofi 2.0.0-1
rofi-bluetooth-git r41.0cca4d4-1
rust 1:1.97.1-1
sddm 0.21.0-7
sddm-kcm 6.7.3-1
showmethekey 1.21.0-1
slurp 1.5.0-2
spectacle 1:6.7.3-1
starship 1.26.0-1
steam 1.0.0.87-1
sudo 1.9.17.p2-6
swaync 0.12.6-1
systemsettings 6.7.3-1
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
tree 2.3.2-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.4.0-1
tumbler 4.20.1-1
typescript 6.0.3-1
ufw 0.36.2-7
umu-launcher 1.4.4-1
unimatrix-git r89.5cf67aa-1
unzip 6.0-23
visual-studio-code-bin 1.120.0-1
vscode-html-languageserver 1.122.0-1
vulkan-intel 1:26.1.5-1
wacomtablet 6.7.3-1
waybar 0.15.0-2
waypaper 2.8-1
wev 1.1.0-1
wf-recorder-git r233.9da69a7-1
wine-staging 11.14-2
winetricks 20260125-2
wl-clipboard 1:2.3.0-1
wlogout 1.2.2-0
woff2-font-awesome 7.3.1-1
wofi 1.5.3-1
wshowkeys-git r6.308fc9f-1
xdg-desktop-portal-kde 6.7.3-1
xf86-video-vesa 2.6.0-3
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-3
xorg-font-util 1.4.2-1
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-2
xorg-iceauth 1.0.11-1
